s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s
Time,"sortie niv -1 nord","sortie niv -2 nord","sortie niv -1 sud","sortie niv -2 sud","escalier 1.2","escalier 2.2","escalier 2.2","escalier 3.2","escalier 4.2","escalier 4.2","escalier 1.1","escalier 2.1","escalier 2.1","escalier 3.1","escalier 4.1","escalier 4.1"
 1.0626521E+002,-8.8926618E-002,-1.9554259E-002,-7.5840044E-002,-1.8444299E-002, 8.4263577E-002, 2.6088167E-001, 4.5832979E-002,-8.0337798E-004,-2.1953594E-001,-1.6232167E-001, 2.7999062E-001, 1.3949147E+000,-2.1077980E-001,-4.1596616E-003,-1.5275702E-001,-2.5550579E-001
 1.0804494E+002,-7.4262217E-002,-1.3017651E-002,-6.5859559E-002,-1.8621202E-002, 5.0101817E-002, 2.4926128E-001, 5.2457840E-002, 3.9250613E-002,-1.8387599E-001,-1.4494408E-001, 2.3226974E-001, 1.4125592E+000,-2.1302196E-001,-1.0249937E-002,-1.4340392E-001,-2.4318569E-001
 1.0982467E+002,-7.2416524E-002,-1.4021125E-002,-6.3316200E-002,-1.5977317E-002, 7.0068715E-002, 2.4012802E-001, 4.9098793E-002, 2.0882303E-002,-2.0462011E-001,-1.5798419E-001, 2.9370835E-001, 1.3797407E+000,-2.0692239E-001,-1.2642927E-002,-1.5044141E-001,-2.6076322E-001
 1.1160441E+002,-8.8262480E-002,-2.3953602E-002,-7.3118824E-002,-1.8082761E-002, 1.2599988E-001, 2.4123387E-001, 4.1497848E-002,-2.6532975E-002,-2.5763788E-001,-1.8816884E-001, 4.1610938E-001, 1.3756534E+000,-2.0707878E-001,-1.9152151E-002,-1.7373889E-001,-3.0449570E-001
 1.1345005E+002,-9.2592894E-002,-1.9197361E-002,-7.7476304E-002,-1.5033683E-002, 1.0676276E-001, 2.2902641E-001, 4.2068179E-002,-5.4677318E-005,-2.3353969E-001,-1.7563303E-001, 3.8343528E-001, 1.4072468E+000,-1.9260699E-001,-1.9848143E-002,-1.7806456E-001,-3.1699829E-001
 1.1522979E+002,-7.7680653E-002,-1.7156872E-002,-6.8346973E-002,-1.8387136E-002, 7.4590293E-002, 2.3096598E-001, 4.8606949E-002, 5.7656980E-002,-1.7966502E-001,-1.4703200E-001, 3.3328348E-001, 1.3929797E+000,-1.9175942E-001,-2.8681798E-003,-1.6616418E-001,-3.0465072E-001
 1.1700952E+002,-8.1981291E-002,-1.5040207E-002,-7.1557935E-002,-1.5902876E-002, 6.3478448E-002, 2.2145535E-001, 4.5970090E-002, 3.8104509E-002,-1.9783747E-001,-1.5733737E-001, 3.8229828E-001, 1.4233478E+000,-1.9426013E-001, 7.9871636E-003,-1.7035212E-001,-3.2168068E-001
 1.1885517E+002,-1.0016295E-001,-2.0570570E-002,-8.4087069E-002,-1.8811785E-002, 1.1294163E-001, 2.3830399E-001, 3.9729671E-002,-3.3222837E-003,-2.4334297E-001,-1.8213888E-001, 4.8166131E-001, 1.4226022E+000,-1.9426238E-001,-3.4417451E-003,-1.9425910E-001,-3.7153562E-001
 1.2063490E+002,-1.0270701E-001,-2.1246105E-002,-8.7712721E-002,-1.8400666E-002, 8.5528736E-002, 2.4188489E-001, 4.0417424E-002, 1.9962763E-002,-2.2508570E-001,-1.7136410E-001, 4.7932225E-001, 1.4246042E+000,-1.7510139E-001,-1.0731730E-002,-1.9544256E-001,-3.8361903E-001
 1.2241464E+002,-9.5251561E-002,-1.7870463E-002,-8.2733526E-002,-1.8320376E-002, 4.3726644E-002, 2.4131799E-001, 4.1222983E-002, 5.5963667E-002,-1.9101807E-001,-1.5204357E-001, 4.5135044E-001, 1.4267042E+000,-1.7002873E-001,-2.5145133E-002,-1.8088317E-001,-3.7524000E-001
 1.2426029E+002,-1.0402093E-001,-2.3638277E-002,-8.8270840E-002,-1.9887911E-002, 6.3789648E-002, 2.5828832E-001, 3.3634886E-002, 2.7272738E-002,-2.2586637E-001,-1.7103723E-001, 4.8171844E-001, 1.5077585E+000,-1.7432848E-001,-7.4437361E-002,-1.8807450E-001,-4.1108603E-001
 1.2604002E+002,-1.1120886E-001,-1.7369635E-002,-9.4194076E-002,-1.5643604E-002, 5.2089144E-002, 2.7565680E-001, 2.8507028E-002, 2.4292578E-002,-2.3381537E-001,-1.7423700E-001, 5.5246819E-001, 1.5468898E+000,-1.8195217E-001,-1.1837240E-001,-1.9239288E-001,-4.4982030E-001
 1.2783930E+002,-1.0109011E-001,-1.5423133E-002,-8.8319959E-002,-1.7703807E-002,-3.1839576E-003, 2.9307301E-001, 3.1612121E-002, 6.5059598E-002,-2.0139732E-001,-1.5481560E-001, 6.0074411E-001, 1.4904769E+000,-1.8954638E-001,-1.1769696E-001,-1.7115955E-001,-4.5611209E-001
 1.2963678E+002,-1.0711809E-001,-1.8123158E-002,-9.1868738E-002,-1.6130305E-002,-2.2169640E-002, 3.0215576E-001, 3.0512144E-002, 6.5335827E-002,-2.0906648E-001,-1.5751676E-001, 6.9638501E-001, 1.4786691E+000,-1.9819530E-001,-1.3453520E-001,-1.5524800E-001,-4.8407234E-001
 1.3146636E+002,-1.2546333E-001,-2.4511522E-002,-1.0550544E-001,-1.7927382E-002, 8.5764324E-003, 3.1399830E-001, 2.8712707E-002, 4.3056797E-002,-2.4049031E-001,-1.7265125E-001, 8.0940053E-001, 1.4976033E+000,-2.1115281E-001,-1.7886210E-001,-1.5082609E-001,-5.4455906E-001
 1.3322818E+002,-1.2331484E-001,-1.6789122E-002,-1.0587635E-001,-1.6547372E-002,-2.7569665E-002, 3.1103995E-001, 3.4032326E-002, 6.6953611E-002,-2.2546718E-001,-1.6228541E-001, 8.3231915E-001, 1.4741103E+000,-1.9800720E-001,-1.7713892E-001,-1.3061122E-001,-5.8211209E-001
 1.3505381E+002,-1.1503946E-001,-1.5667574E-002,-1.0106297E-001,-1.7926759E-002,-7.2243534E-002, 3.0390095E-001, 4.3591328E-002, 1.0212356E-001,-1.9689995E-001,-1.4474985E-001, 7.9959949E-001, 1.4684228E+000,-1.8197354E-001,-1.5536611E-001,-1.0510996E-001,-6.0765986E-001
 1.3686223E+002,-1.2224324E-001,-1.4332197E-002,-1.0514452E-001,-1.3291783E-002,-5.4782747E-002, 3.0693458E-001, 4.9344297E-002, 8.1391676E-002,-2.2559595E-001,-1.5793907E-001, 8.1377497E-001, 1.5172926E+000,-1.9786933E-001,-1.6807304E-001,-9.9611972E-002,-6.6657841E-001
